test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,Transaction API Load Test,Get Transactions Test,00:00:30,global information,300,300,0,10,14.56,48.64,5400.42,15.74,16.02,16.69,18.85,366.97,0,0,0,0
nbomber_default_test_suite_name,Transaction API Load Test,Get Transaction By Id Test,00:00:30,global information,150,150,0,5,14.61,51.7,5400.32,15.74,16.04,16.93,18.83,438.2,0,0,0,0
