test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,Transaction API Load Test,Get Transactions Test,00:00:30,global information,300,300,0,10,14.48,92.66,11547.32,15.74,16.01,16.62,23.78,936.67,0,0,0,0
nbomber_default_test_suite_name,Transaction API Load Test,Get Transaction By Id Test,00:00:30,global information,150,150,0,5,9.03,162.59,11547.37,15.67,16.01,16.54,10543.1,1266.14,0,0,0,0
nbomber_default_test_suite_name,Transaction API Load Test,Add Transaction Test,00:00:30,global information,300,300,0,10,14.28,86.56,11547.38,15.71,16,16.64,23.81,865.7,0,0,0,0
nbomber_default_test_suite_name,Transaction API Load Test,Get High Volume Transactions Test,00:00:30,global information,300,300,0,10,14.79,54.39,11547.34,15.72,16.02,16.66,23.82,664.61,0,0,0,0
